footpath_id,address,clue_sa,asset_type,deltaz,distance,grade1in,mcc_id,mccid_int,rlmax,rlmin,segside,statusid,streetid,street_group,start_lat,start_lon,end_lat,end_lon
30094,,Carlton,Road Footway,3.27,76.19,23.3,1384421.0,0.0,39.71,36.44,,0.0,0.0,30094.0,-37.80086200385431,144.9718282206439,-37.800792192946346,144.97119075061659
19772,Park Drive between Bayles Street and Gatehouse Street,Parkville,Road Footway,0.98,44.87,45.8,1388003.0,22364.0,37.49,36.51,East,2.0,956.0,19772.0,-37.793519407283966,144.95660893261075,-37.793179586760935,144.95695061867966
21228,Royal Parade between Morrah Street and Story Street,Parkville,Road Footway,2.0,103.84,51.9,1388654.0,22608.0,37.31,35.31,West,1.0,1041.0,21891.0,-37.79694994687182,144.9576575695402,-37.79591144193032,144.95767686156935
21665,MacKenzie Street between Victoria Street and Russell Street,"Melbourne, CBD",Road Footway,0.38,25.38,66.8,1386639.0,21609.0,33.7,33.32,,2.0,858.0,22309.0,-37.80782602086549,144.96599930789048,-37.80766225190766,144.96663532195993
26337,Leicester Place from Leicester Street,Carlton,Road Footway,0.0,0.0,0.0,1384666.0,20872.0,29.35,29.35,,3.0,785.0,26682.0,-37.8025792402914,144.9613489867906,-37.802517320238316,144.9607774703487
23884,Flemington Road between Blackwood Street and Wreckyn Street,North Melbourne,Road Footway,1.28,87.78,68.6,1388193.0,21123.0,27.18,25.9,South Servic,1.0,632.0,25306.0,-37.799942053711256,144.95491444795354,-37.80057138330649,144.95574943045375
21958,,North Melbourne,Road Footway,1.81,104.52,57.7,1385423.0,0.0,26.33,24.52,,0.0,0.0,21958.0,-37.80528697929935,144.95794662427724,-37.804384579350256,144.95754049844197
28150,Carlton Street between Nicholson Street and Canning Street,Carlton,Road Footway,1.78,142.03,79.8,1388941.0,20683.0,35.68,33.9,South,2.0,486.0,30384.0,-37.8011090220332,144.9724751229921,-37.801267263634884,144.97414453519673
23921,,Carlton,Road Footway,4.98,156.95,31.5,1388975.0,0.0,28.7,23.72,,0.0,0.0,26021.0,-37.806533343401725,144.96308598204132,-37.80592668131211,144.96319315402192
28672,Leicester Street between Pelham Street and Grattan Street,Carlton,Road Footway,5.42,198.92,36.7,1384688.0,20460.0,36.53,31.11,East,2.0,786.0,29337.0,-37.80205167777364,144.96079496236686,-37.80025338413545,144.9611776300159
30486,,Carlton,Road Footway,1.03,50.79,49.3,1384363.0,0.0,43.94,42.91,,0.0,0.0,30721.0,-37.799484399242026,144.96815750366673,-37.79942656923981,144.96761141857505
26014,Swanston Street between Queensberry Street and Lincoln Square South,Carlton,Road Footway,3.23,121.28,37.5,1389891.0,20484.0,33.54,30.31,East,2.0,1114.0,28926.0,-37.80445555631268,144.96341657448528,-37.803373404043114,144.96364424365547
21001,,"Melbourne, CBD",Road Footway,1.2,33.16,27.6,1467347.0,0.0,34.33,33.13,,0.0,0.0,22599.0,-37.80751209484972,144.96548507669868,-37.807051482812746,144.96527267341344
26679,Leicester Street between Queensberry Street and Pelham Street,Carlton,Road Footway,2.59,56.14,21.7,1389926.0,20458.0,30.5,27.91,West,2.0,786.0,27738.0,-37.802812035771375,144.96038210448611,-37.802252231971565,144.960478981263
24631,Earl Street between Lygon Street and Cardigan Street,Carlton,Road Footway,0.81,25.13,31.0,1388987.0,20740.0,32.32,31.51,,3.0,592.0,25341.0,-37.80593599738136,144.96470116838506,-37.805983872468936,144.96522884040536
25644,Berkeley Street between Pelham Street and Grattan Street,Carlton,Road Footway,1.4,135.38,96.7,1389902.0,20474.0,34.28,32.88,East,2.0,441.0,26329.0,-37.801805488767954,144.95856662220862,-37.80056157255988,144.95881931875118
15424,,"Melbourne, CBD",Road Footway,3.97,76.38,19.2,1387450.0,0.0,20.98,17.01,,0.0,0.0,17989.0,-37.81086194774585,144.95899841272566,-37.81061376922367,144.95985234427087
19495,Elizabeth Street between Franklin Street and Therry Street,"Melbourne, CBD",Road Footway,1.55,94.83,61.2,1385805.0,21631.0,18.52,16.97,East,2.0,599.0,21651.0,-37.80716812082877,144.96003264517427,-37.8080001894576,144.96047377955455
28145,,Carlton,Road Footway,7.81,205.39,26.3,1388940.0,0.0,41.91,34.1,,0.0,0.0,30384.0,-37.80316103152191,144.9738276891201,-37.80223878461886,144.97398216659573
20888,,Parkville,Road Footway,2.79,111.56,40.0,1388637.0,0.0,30.11,27.32,,0.0,0.0,21589.0,-37.796664026891314,144.95527180786868,-37.796512277625745,144.95397628969926
23618,,"Melbourne, CBD",Road Footway,0.85,19.66,23.1,1466405.0,0.0,29.15,28.3,,0.0,0.0,24325.0,-37.80782772147303,144.9693771057486,-37.807769638588994,144.96891356123038
23306,Albert Street between Spring Street and Nicholson Street,East Melbourne,Road Footway,1.37,30.06,21.9,1389559.0,20886.0,35.73,34.36,,2.0,375.0,27822.0,-37.80944478278659,144.97234059210967,-37.80934682654878,144.97278014476856
