footpath_id,address,clue_sa,asset_type,deltaz,distance,grade1in,mcc_id,mccid_int,rlmax,rlmin,segside,statusid,streetid,street_group,start_lat,start_lon,end_lat,end_lon
26597,,Carlton,Road Footway,0.19,40.55,213.3,1384211.0,0.0,34.06,33.87,,0.0,0.0,28018.0,-37.79257007846067,144.97001217301388,-37.793209700567324,144.96990429437574
22269,Queensberry Street between Elizabeth Street and O'Connell Street,North Melbourne,Road Footway,0.83,39.59,47.7,1385074.0,20923.0,27.36,26.53,North,2.0,1008.0,23580.0,-37.803793543410244,144.95750851396303,-37.80388458522898,144.95803229254645
18614,Park Drive between Bayles Street and Gatehouse Street,Parkville,Road Footway,1.39,57.75,41.5,1388649.0,22364.0,38.87,37.48,East,2.0,956.0,20149.0,-37.79314000615333,144.95694615245347,-37.79269141481861,144.95764514893844
14560,Franklin Street between Queen Street and William Street,"Melbourne, CBD",Road Footway,4.82,192.77,40.0,1388278.0,21527.0,28.56,23.74,,2.0,644.0,15419.0,-37.80966141863645,144.95563135852666,-37.809536034042814,144.95744354717849
20878,Wimble Street between Morrah Street and Park Drive,Parkville,Road Footway,0.2,23.13,115.6,1388572.0,22348.0,34.5,34.3,West,2.0,1183.0,21582.0,-37.794552871655284,144.95580862992918,-37.79507221743665,144.95572431467704
26935,Reeves Street between Rathdowne Street and Drummond Street,Carlton,Road Footway,4.67,93.94,20.1,1477320.0,23273.0,34.03,29.36,North,3.0,120050.0,28018.0,-37.793234860975936,144.9699018786452,-37.793334098107856,144.9710480778731
21960,Queensberry Street between Cobden Street and Peel Street,North Melbourne,Road Footway,2.37,49.35,20.8,1389989.0,20925.0,30.33,27.96,North,2.0,1008.0,23579.0,-37.803798223881934,144.9572613470935,-37.80368756897215,144.95659516739116
22291,Franklin Street between Victoria Street and Swanston Street,"Melbourne, CBD",Road Footway,5.79,100.03,17.3,1386048.0,21622.0,27.93,22.14,North,2.0,644.0,23261.0,-37.80728078210456,144.96295671685027,-37.806934841693526,144.96421711213438
19458,Queensberry Street between Capel Street and Howard Street,North Melbourne,Road Footway,1.44,94.82,65.8,1385878.0,20950.0,35.75,34.31,North,2.0,1008.0,20939.0,-37.803461085052795,144.95424290108963,-37.80355555400948,144.95538810397605
24355,Punch Lane from Little Bourke Street,"Melbourne, CBD",Road Footway,0.39,55.83,143.1,1388298.0,20226.0,27.92,27.53,,3.0,1003.0,24355.0,-37.81074739125567,144.97113137655,-37.8101310427232,144.97080885373995
28344,,Carlton,Road Footway,1.72,144.0,83.7,1384647.0,0.0,44.62,42.9,,0.0,0.0,29698.0,-37.798790140123955,144.96708547571748,-37.800587466252345,144.96677795692403
29996,,Carlton,Road Footway,0.46,54.51,118.5,1388910.0,0.0,24.91,24.45,,0.0,0.0,29996.0,-37.79327234020523,144.97550677200553,-37.794366870830814,144.97531546208762
30470,,Carlton,Road Footway,1.2,48.29,40.2,1384302.0,0.0,32.27,31.07,,0.0,0.0,30470.0,-37.797384565389926,144.9709278198176,-37.79745036763847,144.9715174094199
21364,Hayward Lane between Little Lonsdale Street and La Trobe Street,"Melbourne, CBD",Road Footway,0.0,0.87,8721.7,1387056.0,20282.0,26.36,26.36,,3.0,698.0,21991.0,-37.809056001344224,144.96687470615385,-37.809680886806134,144.9671671339967
22197,Swanston Street between Elgin Street and College Crescent,Carlton,Road Footway,0.98,66.42,67.8,1384169.0,20494.0,44.85,43.87,East,2.0,1114.0,23188.0,-37.79671619089615,144.96471558029094,-37.7961032083208,144.96489589596268
28150,Carlton Street between Nicholson Street and Canning Street,Carlton,Road Footway,1.78,142.03,79.8,1388941.0,20683.0,35.68,33.9,South,2.0,486.0,30384.0,-37.8011090220332,144.9724751229921,-37.801267263634884,144.97414453519673
19783,Gatehouse Street between Morrah Street and Bayles Street,Parkville,Road Footway,5.13,139.97,27.3,1388014.0,22342.0,34.67,29.54,East,2.0,649.0,20509.0,-37.794581968629714,144.95382520278204,-37.79364654613079,144.95506941964084
18978,Cemetery Road West between Royal Parade and College Crescent,Carlton,Road Footway,2.05,286.33,139.7,1466004.0,22375.0,45.68,43.63,North,1.0,498.0,24542.0,-37.79004392794141,144.95945970235084,-37.79152190246024,144.96096809450182
21353,Lonsdale Street between Exhibition Street and Russell Street,"Melbourne, CBD",Road Footway,0.65,61.4,94.4,1387031.0,20003.0,20.97,20.32,North,2.0,803.0,21681.0,-37.81047267086481,144.967947010621,-37.810257095090016,144.96877139113832
16463,Royal Parade between Gatehouse Street and MacArthur Road,Parkville,Road Footway,1.21,185.27,153.1,1389659.0,22438.0,42.48,41.27,West,1.0,1041.0,16777.0,-37.78998767795376,144.95840416827474,-37.79185443081883,144.958173757636
25322,Leicester Street between Queensberry Street and Pelham Street,Carlton,Road Footway,5.8,168.04,29.0,1384591.0,20458.0,29.11,23.31,East,2.0,786.0,26339.0,-37.804116301893146,144.96045157930882,-37.80255396183794,144.96077064455287
24301,Lygon Street between Victoria Street and Queensberry Street,Carlton,Road Footway,1.02,103.38,101.3,1384568.0,20522.0,36.75,35.73,West,2.0,840.0,25348.0,-37.80501884863678,144.96605785860461,-37.806061478788905,144.96584156698998
23870,Elizabeth Street between Flemington Road and Grattan Street,Carlton,Road Footway,0.97,81.97,84.5,1388437.0,21551.0,32.15,31.18,East,1.0,599.0,25992.0,-37.79988533379608,144.95781172604896,-37.800833883989625,144.95776107067206
23882,Blackwood Street between Flemington Road and Courtney Street,North Melbourne,Road Footway,0.83,50.11,60.4,1389324.0,21122.0,27.72,26.89,West,2.0,446.0,25306.0,-37.8006125217302,144.95575508632368,-37.80109560488029,144.95508760311387
29575,,Carlton,Road Footway,6.83,170.58,25.0,1384352.0,0.0,43.72,36.89,,0.0,0.0,30384.0,-37.800935723960094,144.97082005414498,-37.800860298495174,144.9701015110883
28130,Rathdowne Street between Pelham Street and Grattan Street,Carlton,Road Footway,1.43,185.09,129.4,1384353.0,20558.0,44.94,43.51,East,2.0,1024.0,30384.0,-37.80302227593904,144.96968936783588,-37.80122478967563,144.97003740936427
20638,Lonsdale Street between Exhibition Street and Russell Street,"Melbourne, CBD",Road Footway,2.42,165.29,68.3,1386749.0,20003.0,21.77,19.35,South,2.0,803.0,32331.0,-37.81088379342661,144.9674279646943,-37.810373313438284,144.96926073997113
25719,Evelyn Place between Nicholson Street and Albert Street,East Melbourne,Road Footway,1.59,50.69,31.9,1389030.0,21561.0,40.32,38.73,,3.0,614.0,26395.0,-37.808692670693326,144.97323943946913,-37.808758842024716,144.9739216547095
30062,,Carlton,Road Footway,0.21,43.47,206.9,1384371.0,0.0,44.71,44.5,,0.0,0.0,30062.0,-37.8011224360362,144.96912391530608,-37.80105695969724,144.96855348106368
26677,,Carlton,Road Footway,3.04,88.52,29.1,1384683.0,0.0,27.53,24.49,,0.0,0.0,27738.0,-37.80284157383542,144.9603757490471,-37.80335716534258,144.96028508420176
19495,Elizabeth Street between Franklin Street and Therry Street,"Melbourne, CBD",Road Footway,1.55,94.83,61.2,1385805.0,21631.0,18.52,16.97,East,2.0,599.0,21651.0,-37.80716812082877,144.96003264517427,-37.8080001894576,144.96047377955455
30703,David Street between Elgin Street and Palmerston Street,Carlton,Road Footway,0.6,72.25,120.4,1384348.0,20655.0,30.26,29.66,,3.0,558.0,30785.0,-37.79730782224292,144.9718916024831,-37.79658981913546,144.9720246745706
28074,,Carlton,Road Footway,0.6,41.79,69.6,1389914.0,0.0,37.71,37.11,,0.0,0.0,30370.0,-37.800234979287275,144.96100367515024,-37.800175734654815,144.96045646211394
19082,,"West Melbourne, Residential",Road Footway,0.42,4.43,10.5,1389319.0,0.0,27.55,27.13,,0.0,0.0,19082.0,-37.80705253270732,144.95554535477655,-37.806493400698976,144.95564385929268
17632,Swanston Street between Lonsdale Street and Little Lonsdale Street,"Melbourne, CBD",Road Footway,4.02,102.5,25.5,1387550.0,20160.0,20.35,16.33,East,2.0,1114.0,19911.0,-37.810599401084986,144.96436988086182,-37.81139228315156,144.96483664101885
16908,Franklin Street between Elizabeth Street and Queen Street,"Melbourne, CBD",Road Footway,3.02,58.88,19.5,1387657.0,21634.0,23.95,20.93,South,2.0,644.0,18332.0,-37.80894449202307,144.95811677926758,-37.80877174988724,144.95883580672492
30242,Faraday Street between Canning Street and Rathdowne Street,Carlton,Road Footway,2.57,115.75,45.0,1384469.0,20673.0,36.27,33.7,South,2.0,621.0,31141.0,-37.7991481414152,144.97039559022448,-37.7992709899644,144.97176404444122
